cidade;jan_2017;fev_2017;mar_2017;abr_2017;mai_2017;jun_2017;jul_2017;ago_2017;set_2017;out_2017;nov_2017;dez_2017;jan_2018;fev_2018;mar_2018;abr_2018;mai_2018;jun_2018;jul_2018;ago_2018;set_2018;out_2018;nov_2018;dez_2018
Cubatão-V.Parisi;46;79;66;55;73;79;86;78;95;68;54;46;47;51;67;88;58;82;90;76;79;41;48;82
Cubatão-Centro;21;24;19;21;23;26;30;30;40;28;22;23;20;19;23;22;23;27;34;24;26;21;21;23
Cubatão-Vale do Mogi;28;32;26;25;29;34;40;54;68;52;42;36;30;25;32;30;26;41;52;38;35;38;34;36
Santos;18;21;15;15;18;21;22;21;25;17;14;16;18;15;20;18;18;19;22;15;16;14;13;17
Santos-Ponta da Praia;21;28;21;24;29;34;32;26;32;21;18;18;18;16;22;24;26;30;32;21;20;18;17;23
Santo Amaro;18;26;18;20;25;31;35;34;48;24;21;20;18;16;23;25;30;32;47;23;25;18;18;21
Mauá;23;28;21;25;26;36;34;67;58;34;29;32;;25;37;34;36;34;38;21;23;17;19;27
Parque D.Pedro II;18;24;20;20;26;30;33;35;49;25;20;20;17;18;23;26;31;38;54;29;28;21;20;25
Congonhas;20;27;24;24;27;29;34;38;53;29;26;24;21;21;27;30;33;43;51;29;31;23;23;26
Mooca;18;23;19;19;23;34;41;42;51;27;22;22;22;;;;;;;;;;;
São Caetano do Sul;23;31;22;22;28;34;35;38;52;29;23;23;21;23;26;30;33;39;50;25;27;19;19;25
Cerqueira César;19;24;19;19;26;28;32;33;44;24;20;20;17;17;22;24;28;32;44;24;26;19;18;22
Diadema;20;25;21;21;25;28;30;35;;;;;;;25;25;28;34;44;25;26;21;22;25
N.Senhora do Ó;18;23;19;19;26;29;33;36;49;26;21;20;17;18;23;26;32;37;51;26;27;21;19;24
Grajaú-Parelheiros;24;36;24;26;33;46;46;48;64;34;32;30;29;28;38;41;48;63;77;48;41;33;27;29
Pinheiros;17;24;20;19;27;31;31;33;46;26;;23;16;;22;26;30;37;51;25;27;19;;27
S.André-Capuava;21;29;24;22;27;29;33;35;47;28;25;25;22;20;26;30;30;37;45;28;29;20;20;22
S.Bernardo-Paulicéia;15;24;18;19;25;29;37;35;51;25;22;21;18;19;24;27;33;37;50;26;28;20;20;24
Taboão da Serra;21;26;21;22;25;29;33;33;42;25;21;20;19;18;23;24;22;27;36;22;21;17;17;21
Osasco;29;37;29;29;38;41;48;49;58;37;32;29;29;27;32;34;42;54;72;40;39;31;33;37
S.André-Paço Municipal;21;27;21;21;25;29;31;33;44;27;27;22;19;18;24;27;29;38;54;19;;;;
Interlagos;16;24;16;16;22;29;34;35;40;23;20;19;16;15;23;23;26;28;41;22;24;17;18;21
Carapicuíba;19;24;18;19;28;32;39;36;51;26;22;21;19;;22;26;33;37;56;28;27;19;19;23
Guarulhos-Paço;21;31;24;22;28;33;42;41;58;30;23;24;21;21;27;29;33;36;58;28;28;19;18;23
Itaim Paulista;17;24;21;20;25;31;41;34;47;26;24;22;19;18;25;28;34;46;69;31;29;21;19;26
Capão Redondo;15;18;15;18;21;27;29;30;41;22;19;18;17;14;20;22;27;34;48;24;23;16;17;23
Marg.Tietê-Pte;24;30;23;22;31;38;43;40;54;29;23;22;21;19;24;28;34;39;63;33;35;27;25;30
Guarulhos-Pimentas;19;28;23;22;;;;;;;;;;21;35;45;45;54;75;36;36;25;23;28
Mogi das Cruzes;;20;16;17;21;24;27;34;44;24;16;16;19;;22;17;;;;;;;;
S.José Campos;18;20;19;19;22;26;29;31;41;25;20;21;18;17;19;22;25;27;36;21;24;19;16;19
Jacareí;16;22;20;18;25;;27;25;36;;;;;;;;;;36;20;;;;
S.José Campos-Jd.;15;19;13;16;20;22;24;29;39;21;15;15;14;14;17;21;25;27;39;19;21;14;12;15
Taubaté;14;18;13;17;20;23;27;29;44;26;16;15;13;13;17;18;25;26;40;21;24;16;13;16
Guaratinguetá;2;1;1;;23;21;23;24;35;24;16;16;15;14;17;19;23;24;38;25;26;16;13;
Ribeirão Preto;15;18;21;24;30;38;49;66;65;37;19;17;15;15;;38;47;51;61;38;45;24;18;20
Campinas-Centro;20;23;20;21;23;24;27;35;43;26;21;19;19;20;22;23;27;32;35;25;31;23;19;20
Americana-Vila Sta;21;28;24;28;33;39;48;49;68;34;24;24;20;22;;;;;;;;;;
Jundiaí;14;22;17;18;21;21;29;32;48;25;18;18;16;17;20;23;29;32;49;23;26;18;17;20
Paulínia-Sul;26;33;29;29;33;33;44;51;65;37;;21;20;23;;;;;;;;;;
Piracicaba;17;25;21;28;28;32;50;48;63;35;23;22;18;20;24;32;41;46;73;31;36;26;22;23
Paulínia;18;21;19;21;25;27;31;35;43;25;23;22;21;23;27;32;35;38;59;33;36;28;23;24
Santa Gertrudes;23;34;31;40;49;59;70;75;103;;46;34;28;35;40;67;77;77;121;58;56;37;34;36
Campinas-Taquaral;13;16;13;15;17;18;23;29;43;22;14;15;12;13;18;21;26;27;40;21;25;17;13;17
Limeira;16;22;21;24;28;33;37;47;61;29;23;19;16;19;23;33;39;43;66;33;37;25;12;16
São José do Rio Preto;15;19;25;25;32;41;51;56;76;44;24;17;16;16;20;34;40;50;66;38;41;26;17;17
Catanduva;16;19;23;27;34;43;54;59;80;41;23;18;16;16;21;38;42;50;67;38;43;30;17;17
